date,open,high,low,close,volume,average,barCount,tradeDate
2024-01-04 14:20:00-05:00,397.35,397.47,397.07,397.18,273221.0,397.254,1908,2024-01-04
2024-01-04 14:25:00-05:00,397.2,397.33,397.05,397.1,271575.0,397.19,1495,2024-01-04
2024-01-04 14:30:00-05:00,397.09,397.23,396.92,397.19,291983.0,397.028,1761,2024-01-04
2024-01-04 14:35:00-05:00,397.15,397.26,397.01,397.19,159888.0,397.151,850,2024-01-04
2024-01-04 14:40:00-05:00,397.19,397.24,396.98,397.02,179621.0,397.068,1088,2024-01-04
2024-01-04 14:45:00-05:00,397.0,397.23,396.79,397.21,233847.0,396.989,1519,2024-01-04
2024-01-04 14:50:00-05:00,397.2,397.56,397.2,397.46,280872.0,397.394,1712,2024-01-04
2024-01-04 14:55:00-05:00,397.43,397.55,397.19,397.3,204340.0,397.402,1150,2024-01-04
2024-01-04 15:00:00-05:00,397.31,397.48,397.2,397.32,189761.0,397.379,1166,2024-01-04
2024-01-04 15:05:00-05:00,397.33,397.89,397.32,397.82,276413.0,397.63,1650,2024-01-04
2024-01-04 15:10:00-05:00,397.81,397.85,397.41,397.44,227037.0,397.618,1557,2024-01-04
2024-01-04 15:15:00-05:00,397.42,397.47,396.91,397.23,484843.0,397.128,2765,2024-01-04
2024-01-04 15:20:00-05:00,397.21,397.36,397.09,397.24,211463.0,397.226,1411,2024-01-04
2024-01-04 15:25:00-05:00,397.23,397.33,397.08,397.23,166988.0,397.194,1045,2024-01-04
2024-01-04 15:30:00-05:00,397.25,397.61,397.15,397.48,378481.0,397.402,2562,2024-01-04
2024-01-04 15:35:00-05:00,397.48,397.59,397.34,397.39,450405.0,397.445,2788,2024-01-04
2024-01-04 15:40:00-05:00,397.41,397.49,397.09,397.23,282838.0,397.275,1894,2024-01-04
2024-01-04 15:45:00-05:00,397.23,397.46,396.89,396.92,401733.0,397.171,2721,2024-01-04
2024-01-04 15:50:00-05:00,396.9,397.02,396.28,396.36,1086873.0,396.527,6655,2024-01-04
2024-01-04 15:55:00-05:00,396.36,396.6,396.06,396.24,2161740.0,396.313,10272,2024-01-04
2024-01-05 09:30:00-05:00,396.44,397.35,396.16,397.34,1662911.0,396.763,8952,2024-01-05
2024-01-05 09:35:00-05:00,397.33,397.55,396.78,396.82,1072908.0,397.27,7356,2024-01-05
2024-01-05 09:40:00-05:00,396.81,397.09,396.43,396.88,785363.0,396.786,5186,2024-01-05
2024-01-05 09:45:00-05:00,396.85,397.41,396.85,397.35,501654.0,397.209,2785,2024-01-05
2024-01-05 09:50:00-05:00,397.37,397.57,397.27,397.43,552133.0,397.441,3206,2024-01-05
2024-01-05 09:55:00-05:00,397.44,397.49,396.78,397.01,550354.0,397.096,3126,2024-01-05
2024-01-05 10:00:00-05:00,397.02,398.74,397.02,398.65,1108950.0,398.145,6064,2024-01-05
2024-01-05 10:05:00-05:00,398.65,398.96,398.51,398.84,965431.0,398.709,5546,2024-01-05
2024-01-05 10:10:00-05:00,398.85,399.01,398.56,398.65,857719.0,398.754,6166,2024-01-05
2024-01-05 10:15:00-05:00,398.65,398.7,398.05,398.27,594029.0,398.278,3605,2024-01-05
2024-01-05 10:20:00-05:00,398.25,398.62,397.94,398.56,444763.0,398.297,2533,2024-01-05
2024-01-05 10:25:00-05:00,398.56,398.89,398.49,398.59,491957.0,398.643,2775,2024-01-05
2024-01-05 10:30:00-05:00,398.6,399.14,398.35,399.07,478860.0,398.86,2999,2024-01-05
2024-01-05 10:35:00-05:00,399.07,399.3,398.96,398.97,437618.0,399.126,2288,2024-01-05
2024-01-05 10:40:00-05:00,398.98,399.15,398.79,399.09,419146.0,398.973,2254,2024-01-05
2024-01-05 10:45:00-05:00,399.09,399.24,398.86,398.96,243173.0,399.058,1558,2024-01-05
2024-01-05 10:50:00-05:00,398.97,399.2,398.66,399.17,1122436.0,399.077,2590,2024-01-05
2024-01-05 10:55:00-05:00,399.17,399.31,398.95,399.18,403030.0,399.153,2120,2024-01-05
2024-01-05 11:00:00-05:00,399.19,399.56,399.05,399.14,756133.0,399.433,2287,2024-01-05
2024-01-05 11:05:00-05:00,399.15,399.33,398.81,399.14,451022.0,399.084,3199,2024-01-05
2024-01-05 11:10:00-05:00,399.13,399.5,398.97,399.29,256095.0,399.283,1515,2024-01-05
2024-01-05 11:15:00-05:00,399.28,399.47,398.48,398.56,461514.0,398.931,2852,2024-01-05
2024-01-05 11:20:00-05:00,398.55,398.64,398.19,398.44,480796.0,398.399,3079,2024-01-05
2024-01-05 11:25:00-05:00,398.45,398.58,398.09,398.12,350991.0,398.278,2001,2024-01-05
2024-01-05 11:30:00-05:00,398.13,398.43,398.11,398.31,275179.0,398.288,1791,2024-01-05
2024-01-05 11:35:00-05:00,398.31,398.34,398.09,398.21,189101.0,398.203,1220,2024-01-05
2024-01-05 11:40:00-05:00,398.2,398.26,397.77,397.81,428606.0,397.992,2661,2024-01-05
2024-01-05 11:45:00-05:00,397.81,398.03,397.53,397.65,486594.0,397.801,2990,2024-01-05
2024-01-05 11:50:00-05:00,397.64,398.17,397.63,398.14,383460.0,397.968,1897,2024-01-05
2024-01-05 11:55:00-05:00,398.15,398.22,397.9,398.06,252806.0,398.065,1519,2024-01-05
2024-01-05 12:00:00-05:00,398.05,398.11,397.79,397.86,191758.0,397.904,1133,2024-01-05
2024-01-05 12:05:00-05:00,397.85,397.88,396.79,396.79,630196.0,397.292,3770,2024-01-05
